"","SUNSID","Acres","BUFF_DIST","Method","Start","Buff03km","Buffer05km","Buffer1km","Buff03SLR2","Buff05SLR2ft","Buff1SLR2ft","Buff03SFHA","Buff05SFHA","Buff1SFHA"
"87","PAN10",0.140000000596046,300,"Census_pop20","Footprint",189.538343956304,NA,NA,4.39443065221702,NA,NA,147.124970330059,NA,NA
"88","PAN10",0.140000000596046,300,"ParcelAll_bldgcnt","Footprint",86,NA,NA,0,NA,NA,66,NA,NA
"89","PAN10",0.140000000596046,300,"ParcelRes_count","Footprint",89,NA,NA,11,NA,NA,71,NA,NA
"90","PAN10",0.140000000596046,300,"ParcelAll_count","Footprint",102,NA,NA,13,NA,NA,83,NA,NA
"91","PAN16",7.03999996185303,300,"Landscan_pop","Footprint",298,NA,NA,8,NA,NA,38,NA,NA
"92","PAN16",7.03999996185303,300,"Census_pop20","Footprint",209.493572625529,NA,NA,6.96518484489866,NA,NA,37.7752890795886,NA,NA
"93","PAN16",7.03999996185303,300,"ParcelAll_bldgcnt","Footprint",147,NA,NA,2,NA,NA,30,NA,NA
"94","PAN16",7.03999996185303,300,"ParcelRes_count","Footprint",138,NA,NA,13,NA,NA,48,NA,NA
"95","PAN16",7.03999996185303,300,"ParcelAll_count","Footprint",224,NA,NA,31,NA,NA,76,NA,NA
"96","PAN04",5.26000022888184,300,"Landscan_pop","Footprint",388,NA,NA,8,NA,NA,63,NA,NA
"97","PAN04",5.26000022888184,300,"Census_pop20","Footprint",318.963698448376,NA,NA,5.91107058282058,NA,NA,35.195337678734,NA,NA
"98","PAN04",5.26000022888184,300,"ParcelAll_bldgcnt","Footprint",229,NA,NA,2,NA,NA,28,NA,NA
"99","PAN04",5.26000022888184,300,"ParcelRes_count","Footprint",184,NA,NA,33,NA,NA,53,NA,NA
"100","PAN04",5.26000022888184,300,"ParcelAll_count","Footprint",243,NA,NA,50,NA,NA,72,NA,NA
"101","PAN15",25.25,300,"Landscan_pop","Footprint",25,NA,NA,0,NA,NA,24,NA,NA
"102","PAN15",25.25,300,"Census_pop20","Footprint",55.9784515022034,NA,NA,6.02570321752793,NA,NA,48.1506779790296,NA,NA
"103","PAN15",25.25,300,"ParcelAll_bldgcnt","Footprint",101,NA,NA,6,NA,NA,61,NA,NA
"104","PAN15",25.25,300,"ParcelRes_count","Footprint",16,NA,NA,10,NA,NA,15,NA,NA
"105","PAN15",25.25,300,"ParcelAll_count","Footprint",138,NA,NA,29,NA,NA,85,NA,NA
"106","PAN05",10.9499998092651,300,"Landscan_pop","Footprint",497,NA,NA,NA,NA,NA,NA,NA,NA
"107","PAN05",10.9499998092651,300,"Census_pop20","Footprint",523.701233498582,NA,NA,NA,NA,NA,NA,NA,NA
"108","PAN05",10.9499998092651,300,"ParcelAll_bldgcnt","Footprint",264,NA,NA,NA,NA,NA,NA,NA,NA
"109","PAN05",10.9499998092651,300,"ParcelRes_count","Footprint",230,NA,NA,NA,NA,NA,NA,NA,NA
"110","PAN05",10.9499998092651,300,"ParcelAll_count","Footprint",302,NA,NA,NA,NA,NA,NA,NA,NA
"111","PAR06",23.9400005340576,300,"Landscan_pop","Footprint",334,NA,NA,3,NA,NA,0,NA,NA
"112","PAR06",23.9400005340576,300,"Census_pop20","Footprint",414.216025615156,NA,NA,5.08280070718054,NA,NA,0.79962180723892,NA,NA
"113","PAR06",23.9400005340576,300,"ParcelAll_bldgcnt","Footprint",236,NA,NA,1,NA,NA,0,NA,NA
"114","PAR06",23.9400005340576,300,"ParcelRes_count","Footprint",167,NA,NA,3,NA,NA,1,NA,NA
"115","PAR06",23.9400005340576,300,"ParcelAll_count","Footprint",246,NA,NA,13,NA,NA,4,NA,NA
"116","PAR04",0.589999973773956,300,"Landscan_pop","Footprint",72,NA,NA,2,NA,NA,33,NA,NA
"117","PAR04",0.589999973773956,300,"Census_pop20","Footprint",92.9301256548103,NA,NA,4.1499340780726,NA,NA,59.1707810676952,NA,NA
"118","PAR04",0.589999973773956,300,"ParcelAll_bldgcnt","Footprint",32,NA,NA,0,NA,NA,12,NA,NA
"119","PAR04",0.589999973773956,300,"ParcelRes_count","Footprint",38,NA,NA,13,NA,NA,25,NA,NA
"120","PAR04",0.589999973773956,300,"ParcelAll_count","Footprint",47,NA,NA,18,NA,NA,34,NA,NA
"121","PAR05",28.4699993133545,300,"Landscan_pop","Footprint",117,NA,NA,3,NA,NA,35,NA,NA
"122","PAR05",28.4699993133545,300,"Census_pop20","Footprint",157.903222572896,NA,NA,4.86978411239149,NA,NA,39.9120456979617,NA,NA
"123","PAR05",28.4699993133545,300,"ParcelAll_bldgcnt","Footprint",118,NA,NA,0,NA,NA,29,NA,NA
"124","PAR05",28.4699993133545,300,"ParcelRes_count","Footprint",87,NA,NA,19,NA,NA,36,NA,NA
"125","PAR05",28.4699993133545,300,"ParcelAll_count","Footprint",121,NA,NA,32,NA,NA,49,NA,NA
"126","PAR01",25.5,300,"Landscan_pop","Footprint",394,NA,NA,0,NA,NA,3,NA,NA
"127","PAR01",25.5,300,"Census_pop20","Footprint",374.742753213354,NA,NA,0.871806101828508,NA,NA,13.1265457376008,NA,NA
"128","PAR01",25.5,300,"ParcelAll_bldgcnt","Footprint",220,NA,NA,0,NA,NA,0,NA,NA
"129","PAR01",25.5,300,"ParcelRes_count","Footprint",158,NA,NA,2,NA,NA,3,NA,NA
"130","PAR01",25.5,300,"ParcelAll_count","Footprint",228,NA,NA,4,NA,NA,8,NA,NA
"131","PAR02",9.5,300,"Landscan_pop","Footprint",293,NA,NA,NA,NA,NA,0,NA,NA
"132","PAR02",9.5,300,"Census_pop20","Footprint",387.736618243078,NA,NA,NA,NA,NA,0.496414590129105,NA,NA
"133","PAR02",9.5,300,"ParcelAll_bldgcnt","Footprint",197,NA,NA,NA,NA,NA,0,NA,NA
"134","PAR02",9.5,300,"ParcelRes_count","Footprint",173,NA,NA,NA,NA,NA,0,NA,NA
"135","PAR02",9.5,300,"ParcelAll_count","Footprint",235,NA,NA,NA,NA,NA,1,NA,NA
"136","PSJ03",13.0200004577637,300,"Landscan_pop","Footprint",94,NA,NA,NA,NA,NA,NA,NA,NA
"137","PSJ03",13.0200004577637,300,"Census_pop20","Footprint",227.559745462652,NA,NA,NA,NA,NA,NA,NA,NA
"138","PSJ03",13.0200004577637,300,"ParcelAll_bldgcnt","Footprint",88,NA,NA,NA,NA,NA,NA,NA,NA
"139","PSJ03",13.0200004577637,300,"ParcelRes_count","Footprint",95,NA,NA,NA,NA,NA,NA,NA,NA
"140","PSJ03",13.0200004577637,300,"ParcelAll_count","Footprint",125,NA,NA,NA,NA,NA,NA,NA,NA
"141","SPR01",16.7299995422363,300,"Landscan_pop","Footprint",381,NA,NA,NA,NA,NA,NA,NA,NA
"142","SPR01",16.7299995422363,300,"Census_pop20","Footprint",310.919837508041,NA,NA,NA,NA,NA,NA,NA,NA
"143","SPR01",16.7299995422363,300,"ParcelAll_bldgcnt","Footprint",149,NA,NA,NA,NA,NA,NA,NA,NA
"144","SPR01",16.7299995422363,300,"ParcelRes_count","Footprint",115,NA,NA,NA,NA,NA,NA,NA,NA
"145","SPR01",16.7299995422363,300,"ParcelAll_count","Footprint",167,NA,NA,NA,NA,NA,NA,NA,NA
"146","FRA06",28.2999992370606,300,"Landscan_pop","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"147","FRA06",28.2999992370606,300,"Census_pop20","Footprint",1.16191671830553,NA,NA,0.192720749862361,NA,NA,1.16191669349474,NA,NA
"148","FRA06",28.2999992370606,300,"ParcelAll_bldgcnt","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"149","FRA06",28.2999992370606,300,"ParcelRes_count","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"150","FRA06",28.2999992370606,300,"ParcelAll_count","Footprint",8,NA,NA,4,NA,NA,8,NA,NA
"151","FRA07",15.6999998092651,300,"Landscan_pop","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"152","FRA07",15.6999998092651,300,"Census_pop20","Footprint",2.71356636345228,NA,NA,0.311436706436192,NA,NA,2.58540609715241,NA,NA
"153","FRA07",15.6999998092651,300,"ParcelAll_bldgcnt","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"154","FRA07",15.6999998092651,300,"ParcelRes_count","Footprint",0,NA,NA,0,NA,NA,0,NA,NA
"155","FRA07",15.6999998092651,300,"ParcelAll_count","Footprint",8,NA,NA,5,NA,NA,7,NA,NA
"156","APA05",0.740000009536743,300,"Landscan_pop","Footprint",136,NA,NA,NA,NA,NA,NA,NA,NA
"157","APA05",0.740000009536743,300,"Census_pop20","Footprint",249.731219116777,NA,NA,NA,NA,NA,NA,NA,NA
"158","APA05",0.740000009536743,300,"ParcelAll_bldgcnt","Footprint",110,NA,NA,NA,NA,NA,NA,NA,NA
"159","APA05",0.740000009536743,300,"ParcelRes_count","Footprint",119,NA,NA,NA,NA,NA,NA,NA,NA
"160","APA05",0.740000009536743,300,"ParcelAll_count","Footprint",184,NA,NA,NA,NA,NA,NA,NA,NA
"161","APA06",1.28999996185303,300,"Landscan_pop","Footprint",138,NA,NA,NA,NA,NA,NA,NA,NA
"162","APA06",1.28999996185303,300,"Census_pop20","Footprint",221.540797409761,NA,NA,NA,NA,NA,NA,NA,NA
"163","APA06",1.28999996185303,300,"ParcelAll_bldgcnt","Footprint",122,NA,NA,NA,NA,NA,NA,NA,NA
"164","APA06",1.28999996185303,300,"ParcelRes_count","Footprint",128,NA,NA,NA,NA,NA,NA,NA,NA
"165","APA06",1.28999996185303,300,"ParcelAll_count","Footprint",158,NA,NA,NA,NA,NA,NA,NA,NA
"166","APA08",0.379999995231628,300,"Landscan_pop","Footprint",37,NA,NA,NA,NA,NA,9,NA,NA
"167","APA08",0.379999995231628,300,"Census_pop20","Footprint",181.599103381884,NA,NA,NA,NA,NA,45.3168651082067,NA,NA
"168","APA08",0.379999995231628,300,"ParcelAll_bldgcnt","Footprint",126,NA,NA,NA,NA,NA,28,NA,NA
"169","APA08",0.379999995231628,300,"ParcelRes_count","Footprint",139,NA,NA,NA,NA,NA,40,NA,NA
"170","APA08",0.379999995231628,300,"ParcelAll_count","Footprint",193,NA,NA,NA,NA,NA,60,NA,NA
"171","APA07",1.12000000476837,300,"Landscan_pop","Footprint",31,NA,NA,0,NA,NA,9,NA,NA
